Frame,TopLeftCornerX,TopLeftCornerY,Length,Height
1,278.5,192.5,56,38
2,599.5,151.5,121,130
3,5.5,46.5,90,87
5,239.5,101.5,103,21
6,682.5,124.5,34,26
7,0.5,270.5,260,139
9,3.5,277.5,63,36
11,442.5,75.5,75,74
11,676.5,76.5,21,21
13,0.5,176.5,29,41
13,327.5,188.5,36,31
13,436.5,201.5,27,23
15,11.5,128.5,235,172
15,218.5,446.5,234,34
15,384.5,166.5,120,86
15,503.5,217.5,62,52
15,571.5,268.5,99,32
16,229.5,163.5,104,94
16,327.5,177.5,78,91
23,521.5,11.5,42,25
26,0.5,274.5,22,34
26,142.5,224.5,37,27
27,39.5,282.5,50,39
27,140.5,261.5,32,21
27,163.5,274.5,79,42
27,173.5,239.5,37,21
27,201.5,194.5,84,53
27,349.5,222.5,78,39
27,357.5,143.5,63,39
27,462.5,120.5,56,52
28,409.5,323.5,50,44
28,519.5,288.5,120,29
29,144.5,339.5,30,23
29,250.5,311.5,21,21
33,451.5,209.5,28,30
33,674.5,213.5,21,23
34,0.5,329.5,65,80
34,104.5,235.5,46,21
34,411.5,249.5,133,33
34,672.5,415.5,48,65
35,475.5,0.5,34,25
36,76.5,36.5,39,33
36,149.5,0.5,109,101
36,259.5,45.5,109,51
36,316.5,34.5,33,24
36,373.5,39.5,36,25
36,427.5,36.5,30,26
36,444.5,51.5,35,29
38,0.5,186.5,30,44
38,311.5,182.5,109,45
38,576.5,248.5,71,26
39,0.5,0.5,56,71
39,72.5,35.5,30,24
39,236.5,94.5,40,24
39,374.5,213.5,43,38
40,590.5,218.5,27,22
41,231.5,228.5,52,22
41,277.5,224.5,38,29
41,306.5,247.5,29,21
41,333.5,236.5,37,23
41,371.5,241.5,34,22
41,404.5,242.5,51,22
41,530.5,212.5,47,39
41,614.5,237.5,35,25
41,657.5,240.5,63,27
41,697.5,366.5,23,24
42,35.5,185.5,67,62
42,37.5,131.5,60,33
42,144.5,183.5,101,31
42,231.5,307.5,429,173
42,237.5,118.5,33,22
42,256.5,210.5,49,52
42,452.5,250.5,90,47
42,608.5,158.5,91,63
45,316.5,96.5,33,25
45,453.5,130.5,29,30
45,478.5,109.5,45,43
45,554.5,153.5,30,22
45,659.5,150.5,31,29
46,0.5,194.5,47,82
46,42.5,97.5,71,38
47,205.5,33.5,118,63
47,213.5,139.5,186,59
47,392.5,46.5,28,22
47,557.5,93.5,42,26
47,648.5,116.5,30,30
47,699.5,145.5,21,24
48,252.5,82.5,80,25
48,650.5,234.5,70,62
49,0.5,307.5,21,42
49,57.5,251.5,130,95
49,203.5,281.5,49,38
49,221.5,197.5,35,27
49,234.5,177.5,98,70
49,360.5,143.5,37,24
49,598.5,115.5,107,46
52,148.5,63.5,115,81
52,419.5,187.5,29,23
52,492.5,247.5,28,23
52,548.5,271.5,41,46
52,669.5,391.5,43,39
52,695.5,427.5,25,31
56,373.5,252.5,69,60
57,231.5,20.5,45,35
57,514.5,216.5,87,49
57,535.5,171.5,32,38
57,590.5,214.5,39,41
57,606.5,269.5,85,61
57,695.5,315.5,25,42
58,356.5,56.5,24,21
59,559.5,199.5,34,27
59,613.5,193.5,45,54
59,678.5,219.5,42,33
61,404.5,91.5,57,39
61,490.5,87.5,36,33
61,625.5,107.5,24,21
62,0.5,247.5,26,29
62,45.5,225.5,59,24
62,187.5,158.5,51,48
62,318.5,113.5,32,28
62,437.5,148.5,37,23
62,473.5,81.5,28,21
62,669.5,14.5,51,112
64,143.5,311.5,112,55
65,573.5,374.5,27,28
67,584.5,0.5,88,43
68,534.5,92.5,40,47
68,616.5,127.5,29,21
69,485.5,176.5,49,52
69,552.5,187.5,39,25
70,2.5,296.5,62,90
70,65.5,329.5,34,33
70,312.5,146.5,55,38
70,333.5,209.5,49,22
71,539.5,230.5,33,25
74,169.5,129.5,28,23
74,198.5,114.5,83,42
75,0.5,16.5,82,134
75,82.5,51.5,54,36
75,130.5,113.5,135,34
75,552.5,133.5,34,22
75,573.5,161.5,67,27
76,19.5,189.5,48,41
76,333.5,230.5,43,30
77,34.5,79.5,37,30
77,163.5,37.5,48,26
77,387.5,2.5,49,25
78,53.5,276.5,42,23
78,95.5,276.5,66,22
78,201.5,222.5,63,47
78,601.5,343.5,119,69
78,630.5,305.5,26,21
79,182.5,195.5,35,29
80,61.5,240.5,86,40
81,0.5,321.5,45,30
81,504.5,214.5,27,26
82,433.5,201.5,140,46
85,34.5,194.5,88,25
85,206.5,132.5,34,29
85,259.5,154.5,54,25
85,350.5,168.5,69,31
85,428.5,83.5,124,109
